age_of_property,coop_condo,dining_room_type,fuel_type,garage_exists,kitchen_type,maintenance_cost,num_bedrooms,num_full_bathrooms,num_half_bathrooms,num_total_rooms,parking_charges,pct_tax_deductibl,sale_price,sq_footage,total_taxes,zip_code,common_charges_numeric_dollars
42,condo,combo,oil,1,eat in,NA,2,2,0,5,0,0,620000,NA,4775,11360,811
15,condo,combo,gas,0,Eat In,NA,1,2,0,5,0,0,415000,862,79,11355,269
74,co-op,NA,oil,0,efficiency,439,0,1,0,1,0,0,150000,400,NA,11372,0
74,co-op,combo,oil,0,eat in,698,2,1,0,4,0,0,267000,NA,NA,11004,0
59,co-op,NA,gas,1,combo,1253,1,1,0,4,115,0,397000,NA,NA,11375,0
74,co-op,other,NA,0,efficiency,495,1,1,0,3,95,0,195000,NA,NA,11375,0
73,co-op,combo,oil,0,efficiency,1015,3,1,0,5,0,0,225000,NA,NA,11363,0
72,co-op,other,gas,0,efficiency,559,1,1,0,3,0,0,210000,NA,NA,11372,0
79,co-op,NA,gas,0,combo,NA,1,1,0,3,0,0,153000,NA,NA,11367,0
69,co-op,combo,gas,0,eat in,640,1,1,0,3,0,0,170000,NA,NA,11354,0
82,co-op,combo,oil,1,eat in,829,2,1,0,4,100,0,243000,NA,NA,11367,0
74,co-op,combo,gas,0,eat in,671,2,1,0,4,0,0,217761,NA,NA,11364,0
34,condo,NA,gas,0,Combo,NA,1,1,0,5,0,0,439000,650,3630,11354,356
59,co-op,NA,oil,1,eat in,2757,3,2,0,6,150,32,950000,NA,NA,11375,0
74,co-op,formal,oil,0,eat in,698,2,1,0,3,0,0,275000,NA,NA,11004,0
74,co-op,combo,oil,0,eat in,735,1,1,0,3,0,0,132000,700,NA,11360,0
74,co-op,NA,gas,0,Eat In,539,1,1,0,4,0,0,109500,700,NA,11422,0
74,co-op,other,gas,0,eat in,765,3,1,0,5,0,0,298000,812,NA,11004,0
60,co-op,combo,gas,0,Combo,874,1,1,0,3,0,0,285000,NA,NA,11375,0
59,co-op,formal,oil,0,efficiency,1148,3,1,1,6,50,0,231000,1059,NA,11414,0
74,co-op,combo,gas,0,eat in,601,2,1,0,4,0,48,218340,NA,NA,11364,0
18,condo,NA,other,0,efficiency,NA,2,1,1,4,0,0,665000,883,NA,11102,917
85,co-op,NA,gas,0,efficiency,951,2,1,0,5,0,45,399000,950,NA,11372,0
68,co-op,formal,gas,0,Combo,1023,2,2,0,5,0,50,350000,1300,NA,11364,0
109,co-op,formal,oil,0,efficiency,NA,2,1,0,5,0,0,498000,NA,NA,11372,724
74,co-op,combo,oil,0,eat in,728,1,1,0,3,0,0,89000,NA,NA,11367,0
89,co-op,NA,gas,0,eat in,523,1,1,0,3,0,0,278000,700,NA,11377,0
64,co-op,NA,gas,0,eat in,1338,3,2,0,6,120,0,560000,1300,NA,11375,0
69,co-op,combo,oil,0,eat in,1077,2,2,0,5,90,0,262000,NA,NA,11435,0
74,co-op,other,gas,0,efficiency,1371,2,1,0,5,75,0,215000,1000,NA,11367,0
84,co-op,combo,gas,0,eat in,564,1,1,0,3,0,50,170000,600,NA,11374,0
63,co-op,NA,oil,0,efficiency,543,0,1,0,2,0,0,78000,NA,NA,11432,0
39,condo,combo,gas,0,Combo,NA,2,2,0,5,0,0,630000,1300,4000,11360,564
9,condo,combo,gas,0,combo,NA,2,2,0,6,0,0,489000,6215,14,11355,312
14,condo,other,gas,1,Combo,NA,2,2,0,4,0,0,630000,1172,22,11415,462
72,co-op,combo,oil,1,combo,857,2,1,0,4,0,50,359888,1000,NA,11375,0
35,condo,formal,gas,1,Eat In,NA,3,3,0,7,0,0,670000,2050,4800,11356,417
66,co-op,other,gas,0,efficiency,869,3,1,1,5,500,0,505000,1035,NA,11106,0
98,co-op,NA,oil,0,efficiency,757,1,1,0,3,0,40,310000,NA,NA,11106,0
49,co-op,combo,oil,1,efficiency,964,1,1,0,3,88,50,375000,800,NA,11005,0
72,co-op,NA,gas,0,efficiency,687,1,1,0,4,0,0,176000,NA,NA,11362,0
96,co-op,combo,oil,0,eat in,775,1,1,0,3,0,0,220000,1000,NA,11415,0
35,condo,NA,gas,0,eat in,NA,2,1,0,4,0,0,459000,807,8178,11373,480
15,condo,combo,gas,0,Eat In,NA,2,2,0,6,0,0,565000,1044,91,11355,311
84,co-op,formal,oil,0,Combo,1498,3,2,2,5,0,50,850000,2000,NA,11375,0
77,co-op,other,oil,0,efficiency,1098,2,1,0,4,0,40,335000,1000,NA,11372,0
68,co-op,other,gas,0,eat in,1081,1,1,0,3,100,40,352500,1300,NA,11357,0
17,condo,combo,gas,0,eat in,NA,2,1,1,5,0,0,405000,850,396,11365,300
NA,co-op,NA,NA,0,NA,NA,2,1,0,4,0,0,235000,NA,NA,11354,0
64,co-op,NA,gas,0,eat in,1296,2,2,0,6,20,0,370000,1250,NA,11360,0
74,co-op,NA,gas,0,combo,634,1,1,0,4,0,0,120000,800,NA,11414,0
69,co-op,other,oil,0,efficiency,750,1,1,0,3,0,0,128000,NA,750,11357,0
52,condo,combo,gas,1,eat in,NA,1,1,0,4,99,0,475000,874,4000,11360,626
70,co-op,combo,gas,0,eat in,779,2,1,0,6,0,25,130000,NA,NA,11423,0
10,condo,combo,gas,0,eat in,NA,2,2,0,5,0,0,655000,980,70,11372,275
59,co-op,combo,oil,1,efficiency,487,1,1,0,3,0,35,142000,NA,NA,11435,0
74,co-op,combo,gas,1,efficiency,655,1,1,0,3,0,0,155000,NA,NA,11364,0
65,co-op,NA,oil,0,eat in,1210,2,1,0,5,31,0,190000,1100,NA,11360,0
